participant_id,group,task_id,stage,block,image_id,expert_id,interpretability,spatial_specificity,temporal_action_specificity,executability,overall_precision,reconstructable
P009,Scaffold,T1_early_D01,T1,early,D01,expert_04,6,5,4,6,6,1
P002,Control,T1_early_E05,T1,early,E05,expert_04,7,5,7,7,7,1
P007,Control,T3_transfer_A05,T3,transfer,A05,expert_04,6,4,7,6,6,1
P010,Scaffold,T2_middle_D06,T2,middle,D06,expert_04,7,7,7,7,7,1
P004,Scaffold,T2_middle_D02,T2,middle,D02,expert_04,7,7,3,7,7,1
P011,Scaffold,T3_transfer_D01,T3,transfer,D01,expert_04,7,7,6,7,7,1
P014,Scaffold,T1_early_C02,T1,early,C02,expert_04,6,5,6,6,5,1
P011,Scaffold,T1_early_C03,T1,early,C03,expert_04,7,5,7,7,7,1
P012,Control,T3_transfer_E04,T3,transfer,E04,expert_04,7,7,6,7,7,1
P011,Scaffold,T2_middle_D02,T2,middle,D02,expert_04,6,7,4,6,6,1
P005,Control,T1_middle_A01,T1,middle,A01,expert_04,6,6,6,6,6,1
P010,Scaffold,T1_early_C04,T1,early,C04,expert_04,7,6,7,6,7,1
P008,Control,T1_middle_E02,T1,middle,E02,expert_04,6,5,6,6,6,1
P005,Control,T3_transfer_A05,T3,transfer,A05,expert_04,6,6,6,6,6,1
P006,Control,T3_transfer_D06,T3,transfer,D06,expert_04,7,6,6,7,7,1
P004,Scaffold,T1_early_C03,T1,early,C03,expert_04,6,6,3,6,6,1
P013,Scaffold,T2_middle_D05,T2,middle,D05,expert_04,2,2,1,2,2,0
P011,Scaffold,T2_middle_C04,T2,middle,C04,expert_04,7,7,4,7,7,1
P012,Control,T1_early_C02,T1,early,C02,expert_04,7,7,7,7,7,1
P012,Control,T1_middle_D01,T1,middle,D01,expert_04,7,7,6,7,7,1
P014,Scaffold,T2_middle_D03,T2,middle,D03,expert_04,2,1,1,2,2,0
P015,Control,T3_transfer_D03,T3,transfer,D03,expert_04,6,4,6,6,6,1
P009,Scaffold,T2_middle_C04,T2,middle,C04,expert_04,6,7,4,6,6,1
P004,Scaffold,T3_transfer_A04,T3,transfer,A04,expert_04,7,7,6,7,7,1
P004,Scaffold,T3_transfer_A01,T3,transfer,A01,expert_04,7,7,5,7,7,1
P002,Control,T3_transfer_A01,T3,transfer,A01,expert_04,6,5,6,6,6,1
P001,Scaffold,T1_early_D03,T1,early,D03,expert_04,6,5,6,6,6,1
P013,Scaffold,T1_early_C04,T1,early,C04,expert_04,3,2,4,3,3,0
P008,Control,T1_middle_A05,T1,middle,A05,expert_04,5,4,6,5,5,1
P016,Scaffold,T1_early_C04,T1,early,C04,expert_04,5,4,5,5,5,1
P008,Control,T3_transfer_C03,T3,transfer,C03,expert_04,6,6,6,6,6,1
P015,Control,T1_middle_A01,T1,middle,A01,expert_04,6,6,6,6,6,1
P004,Scaffold,T2_middle_D05,T2,middle,D05,expert_04,3,3,1,3,3,0
P002,Control,T1_middle_D04,T1,middle,D04,expert_04,7,6,6,7,7,1
P006,Control,T1_middle_A02,T1,middle,A02,expert_04,6,6,5,6,6,1
