expert_id,item_id,participant_id,task_id,stage,block,image_id,interpretability,spatial_specificity,temporal_action_specificity,executability,overall_precision,reconstructable
expert_03,I099,P014,T2_middle_D03,T2,middle,D03,2,1,1,1,1,0
expert_03,I100,P015,T3_transfer_D03,T3,transfer,D03,6,4,5,6,6,1
expert_03,I101,P009,T2_middle_C04,T2,middle,C04,7,7,4,7,7,1
expert_03,I102,P003,T3_transfer_C03,T3,transfer,C03,4,3,5,4,4,1
expert_03,I103,P019,T2_middle_A02,T2,middle,A02,6,5,5,6,6,1
expert_03,I104,P004,T3_transfer_A04,T3,transfer,A04,7,7,5,7,7,1
expert_03,I105,P004,T3_transfer_A01,T3,transfer,A01,7,7,4,7,7,1
expert_03,I106,P002,T3_transfer_A01,T3,transfer,A01,6,5,6,6,6,1
expert_03,I107,P001,T1_early_D03,T1,early,D03,5,4,5,5,5,1
expert_03,I108,P018,T2_middle_A05,T2,middle,A05,7,6,2,7,6,1
expert_03,I109,P020,T2_middle_E01,T2,middle,E01,4,3,4,3,3,0
expert_03,I110,P013,T1_early_C04,T1,early,C04,3,2,3,2,3,0
expert_03,I111,P008,T1_middle_A05,T1,middle,A05,5,3,5,5,5,1
expert_03,I112,P016,T1_early_C04,T1,early,C04,5,4,4,5,5,1
expert_03,I113,P008,T3_transfer_C03,T3,transfer,C03,6,5,6,6,6,1
expert_03,I114,P015,T1_middle_A01,T1,middle,A01,6,5,5,6,6,1
expert_03,I115,P020,T3_transfer_E02,T3,transfer,E02,5,3,5,5,5,1
expert_03,I116,P004,T2_middle_D05,T2,middle,D05,3,3,1,2,2,0
expert_03,I117,P002,T1_middle_D04,T1,middle,D04,7,6,6,7,7,1
expert_03,I118,P006,T1_middle_A02,T1,middle,A02,6,5,4,6,6,1
expert_03,I119,P003,T2_middle_C01,T2,middle,C01,6,5,6,6,6,1
expert_03,I120,P019,T3_transfer_C01,T3,transfer,C01,7,6,6,7,7,1
expert_04,I001,P006,T1_early_C01,T1,early,C01,7,6,6,6,6,1
expert_04,I002,P013,T3_transfer_D04,T3,transfer,D04,3,2,3,3,3,0
expert_04,I003,P001,T2_middle_A04,T2,middle,A04,5,4,6,5,5,1
expert_04,I004,P002,T1_early_C02,T1,early,C02,5,4,6,5,5,1
expert_04,I005,P017,T1_early_A03,T1,early,A03,5,3,6,4,4,1
expert_04,I006,P005,T1_middle_E03,T1,middle,E03,6,5,7,6,6,1
expert_04,I007,P001,T1_early_E04,T1,early,E04,7,6,7,7,7,1
expert_04,I008,P003,T1_early_D02,T1,early,D02,6,5,6,5,5,1
expert_04,I009,P009,T1_early_C02,T1,early,C02,7,7,7,7,7,1
expert_04,I010,P003,T3_transfer_E05,T3,transfer,E05,5,4,5,5,5,1
expert_04,I011,P010,T3_transfer_D01,T3,transfer,D01,7,6,7,7,7,1
expert_04,I012,P003,T1_early_E02,T1,early,E02,6,6,6,6,6,1
expert_04,I013,P019,T2_middle_D05,T2,middle,D05,5,4,3,4,4,1
expert_04,I014,P016,T3_transfer_C02,T3,transfer,C02,6,5,5,5,5,1
expert_04,I015,P009,T3_transfer_E01,T3,transfer,E01,6,6,3,5,5,1
expert_04,I016,P007,T3_transfer_E05,T3,transfer,E05,7,5,7,7,7,1
expert_04,I017,P001,T2_middle_E05,T2,middle,E05,7,6,6,7,7,1
expert_04,I018,P002,T3_transfer_E03,T3,transfer,E03,6,5,3,6,5,1
expert_04,I019,P016,T3_transfer_D06,T3,transfer,D06,2,2,1,2,2,0
expert_04,I020,P017,T1_early_E04,T1,early,E04,6,5,7,6,6,1
expert_04,I021,P008,T3_transfer_C04,T3,transfer,C04,5,5,6,5,5,1
expert_04,I022,P013,T2_middle_C03,T2,middle,C03,7,6,6,7,7,1
expert_04,I023,P007,T1_early_D01,T1,early,D01,5,4,6,5,5,1
expert_04,I024,P020,T2_middle_A05,T2,middle,A05,5,3,6,5,5,1
expert_04,I025,P014,T1_early_C04,T1,early,C04,5,3,6,4,4,0
expert_04,I026,P018,T2_middle_D03,T2,middle,D03,7,7,6,7,7,1
expert_04,I027,P005,T1_early_D03,T1,early,D03,6,6,6,6,6,1
expert_04,I028,P018,T1_early_C03,T1,early,C03,2,3,1,2,2,0
expert_04,I029,P005,T3_transfer_C02,T3,transfer,C02,6,5,6,6,6,1
expert_04,I030,P001,T3_transfer_C01,T3,transfer,C01,7,5,7,7,7,1
expert_04,I031,P001,T3_transfer_D05,T3,transfer,D05,7,7,6,7,7,1
expert_04,I032,P017,T3_transfer_C04,T3,transfer,C04,5,3,5,5,5,1
expert_04,I033,P016,T1_early_D02,T1,early,D02,7,7,3,7,7,1
expert_04,I034,P015,T1_early_E05,T1,early,E05,5,4,5,5,5,1
expert_04,I035,P013,T1_early_A05,T1,early,A05,3,2,4,3,3,0
expert_04,I036,P010,T2_middle_E01,T2,middle,E01,6,6,6,6,6,1
expert_04,I037,P015,T3_transfer_C02,T3,transfer,C02,6,4,6,5,5,1
expert_04,I038,P019,T3_transfer_C03,T3,transfer,C03,7,6,7,7,7,1
expert_04,I039,P012,T3_transfer_A05,T3,transfer,A05,7,7,6,7,7,1
expert_04,I040,P020,T1_early_D02,T1,early,D02,2,1,3,2,2,0
expert_04,I041,P016,T2_middle_E03,T2,middle,E03,5,6,2,5,5,1
expert_04,I042,P010,T1_early_E04,T1,early,E04,4,3,4,4,3,0
expert_04,I043,P006,T3_transfer_D05,T3,transfer,D05,7,6,6,7,7,1
expert_04,I044,P007,T1_early_D02,T1,early,D02,6,6,7,6,6,1
expert_04,I045,P009,T3_transfer_D06,T3,transfer,D06,7,7,4,7,7,1
expert_04,I046,P007,T1_middle_A04,T1,middle,A04,3,2,4,3,3,0
expert_04,I047,P012,T1_early_D03,T1,early,D03,7,7,3,7,7,1
expert_04,I048,P005,T1_early_E02,T1,early,E02,6,6,6,6,6,1
expert_04,I049,P013,T3_transfer_E03,T3,transfer,E03,2,2,2,2,2,0
expert_04,I050,P017,T3_transfer_D06,T3,transfer,D06,3,2,4,3,3,0
expert_04,I051,P014,T3_transfer_E03,T3,transfer,E03,6,5,6,6,6,1
expert_04,I052,P016,T2_middle_A04,T2,middle,A04,6,5,6,6,6,1
expert_04,I053,P009,T2_middle_A05,T2,middle,A05,6,7,5,6,6,1
expert_04,I054,P011,T3_transfer_A05,T3,transfer,A05,6,6,6,6,6,1
expert_04,I055,P015,T1_middle_D05,T1,middle,D05,6,5,6,6,6,1
expert_04,I056,P007,T1_middle_E01,T1,middle,E01,4,3,5,4,4,0
expert_04,I057,P014,T2_middle_D06,T2,middle,D06,6,4,6,5,5,1
expert_04,I058,P008,T1_early_D04,T1,early,D04,7,6,7,7,7,1
expert_04,I059,P018,T1_early_A02,T1,early,A02,7,5,4,6,6,1
expert_04,I060,P006,T1_early_C03,T1,early,C03,6,5,7,6,6,1
expert_04,I061,P012,T1_middle_C04,T1,middle,C04,6,7,5,6,6,1
expert_04,I062,P011,T1_early_E04,T1,early,E04,7,7,7,7,7,1
expert_04,I063,P020,T3_transfer_C04,T3,transfer,C04,5,4,5,5,5,1
expert_04,I064,P008,T1_early_E04,T1,early,E04,7,6,7,7,7,1
expert_04,I065,P002,T1_middle_C04,T1,middle,C04,7,6,6,7,6,1
expert_04,I066,P010,T3_transfer_A02,T3,transfer,A02,6,5,6,6,6,1
expert_04,I067,P004,T1_early_E01,T1,early,E01,7,7,2,7,7,1
expert_04,I068,P014,T3_transfer_E02,T3,transfer,E02,5,4,6,5,5,1
expert_04,I069,P015,T1_early_C04,T1,early,C04,6,5,6,5,6,1
expert_04,I070,P006,T1_middle_E01,T1,middle,E01,5,5,5,5,5,1
expert_04,I071,P009,T1_early_D01,T1,early,D01,6,5,4,6,6,1
expert_04,I072,P002,T1_early_E05,T1,early,E05,7,5,7,7,7,1
expert_04,I073,P018,T3_transfer_C01,T3,transfer,C01,7,6,3,7,6,1
expert_04,I074,P007,T3_transfer_A05,T3,transfer,A05,6,4,7,6,6,1
expert_04,I075,P017,T2_middle_C03,T2,middle,C03,7,7,5,7,7,1
expert_04,I076,P010,T2_middle_D06,T2,middle,D06,7,7,7,7,7,1
expert_04,I077,P004,T2_middle_D02,T2,middle,D02,7,7,3,7,7,1
expert_04,I078,P019,T1_early_D04,T1,early,D04,6,5,6,6,6,1
expert_04,I079,P011,T3_transfer_D01,T3,transfer,D01,7,7,6,7,7,1
expert_04,I080,P014,T1_early_C02,T1,early,C02,6,5,6,6,5,1
expert_04,I081,P011,T1_early_C03,T1,early,C03,7,5,7,7,7,1
expert_04,I082,P012,T3_transfer_E04,T3,transfer,E04,7,7,6,7,7,1
expert_04,I083,P011,T2_middle_D02,T2,middle,D02,6,7,4,6,6,1
expert_04,I084,P005,T1_middle_A01,T1,middle,A01,6,6,6,6,6,1
expert_04,I085,P010,T1_early_C04,T1,early,C04,7,6,7,6,7,1
expert_04,I086,P008,T1_middle_E02,T1,middle,E02,6,5,6,6,6,1
expert_04,I087,P005,T3_transfer_A05,T3,transfer,A05,6,6,6,6,6,1
expert_04,I088,P003,T2_middle_D01,T2,middle,D01,5,4,6,5,5,1
expert_04,I089,P006,T3_transfer_D06,T3,transfer,D06,7,6,6,7,7,1
expert_04,I090,P017,T2_middle_D03,T2,middle,D03,6,7,4,6,6,1
expert_04,I091,P004,T1_early_C03,T1,early,C03,6,6,3,6,6,1
expert_04,I092,P013,T2_middle_D05,T2,middle,D05,2,2,1,2,2,0
expert_04,I093,P019,T1_early_A04,T1,early,A04,7,7,7,7,7,1
expert_04,I094,P011,T2_middle_C04,T2,middle,C04,7,7,4,7,7,1
expert_04,I095,P018,T3_transfer_E02,T3,transfer,E02,7,6,6,7,7,1
expert_04,I096,P012,T1_early_C02,T1,early,C02,7,7,7,7,7,1
expert_04,I097,P020,T1_early_D03,T1,early,D03,5,4,5,5,5,1
expert_04,I098,P012,T1_middle_D01,T1,middle,D01,7,7,6,7,7,1
expert_04,I099,P014,T2_middle_D03,T2,middle,D03,2,1,1,2,2,0
expert_04,I100,P015,T3_transfer_D03,T3,transfer,D03,6,4,6,6,6,1
expert_04,I101,P009,T2_middle_C04,T2,middle,C04,6,7,4,6,6,1
expert_04,I102,P003,T3_transfer_C03,T3,transfer,C03,4,3,5,4,4,0
expert_04,I103,P019,T2_middle_A02,T2,middle,A02,6,5,6,6,6,1
expert_04,I104,P004,T3_transfer_A04,T3,transfer,A04,7,7,6,7,7,1
expert_04,I105,P004,T3_transfer_A01,T3,transfer,A01,7,7,5,7,7,1
expert_04,I106,P002,T3_transfer_A01,T3,transfer,A01,6,5,6,6,6,1
expert_04,I107,P001,T1_early_D03,T1,early,D03,6,5,6,6,6,1
expert_04,I108,P018,T2_middle_A05,T2,middle,A05,7,6,3,7,6,1
expert_04,I109,P020,T2_middle_E01,T2,middle,E01,3,3,3,3,3,0
expert_04,I110,P013,T1_early_C04,T1,early,C04,3,2,4,3,3,0
expert_04,I111,P008,T1_middle_A05,T1,middle,A05,5,4,6,5,5,1
expert_04,I112,P016,T1_early_C04,T1,early,C04,5,4,5,5,5,1
expert_04,I113,P008,T3_transfer_C03,T3,transfer,C03,6,6,6,6,6,1
expert_04,I114,P015,T1_middle_A01,T1,middle,A01,6,6,6,6,6,1
expert_04,I115,P020,T3_transfer_E02,T3,transfer,E02,4,3,5,4,4,0
expert_04,I116,P004,T2_middle_D05,T2,middle,D05,3,3,1,3,3,0
expert_04,I117,P002,T1_middle_D04,T1,middle,D04,7,6,6,7,7,1
expert_04,I118,P006,T1_middle_A02,T1,middle,A02,6,6,5,6,6,1
expert_04,I119,P003,T2_middle_C01,T2,middle,C01,6,5,6,6,6,1
expert_04,I120,P019,T3_transfer_C01,T3,transfer,C01,7,6,6,7,7,1
